"Gene_ID","Gene_Symbol","logFC_24455","p_24455","padj_24455","logFC_63183","p_63183","padj_63183","meta_log2FC","meta_pvalue","meta_padj"
205,"AK4",-1.67006613033121,2.3764374995769e-07,6.32058686902971e-06,-2.76614767288954,0.00032061015487055,0.00562040333208745,-1.67006613033121,2.37643749957699e-07,6.24590775960946e-06
210,"ALAD",-1.45530628288496,0.00011382125427895,0.00129633435163849,-2.39870816003603,0.00183945874873732,0.023283602092212,-1.45530628288496,0.000113821254278951,0.00128315382227684
213,"ALB",-6.61403305388757,1.03864715532816e-11,7.02186874863236e-10,-7.64217385097858,2.56256283818953e-17,7.95296122318859e-15,-6.61403305388757,1.0386471553282e-11,6.8985613769902e-10
219,"ALDH1B1",-2.16809230072588,1.63762100326206e-06,3.44176273334893e-05,-3.5240974001713,1.31863270660447e-06,4.98847980360819e-05,-2.16809230072588,1.63762100326204e-06,3.39692984415109e-05
224,"ALDH3A2",-1.25999517127589,2.24772539405011e-06,4.49676141515214e-05,-2.82208302615449,0.00013398140039456,0.00271182885170583,-1.25999517127589,2.24772539405029e-06,4.44370696304694e-05
226,"ALDOA",1.51495614085792,5.70286059282485e-07,1.35408406186727e-05,2.15859094448415,0.00375055062008272,0.040035336205074,1.51495614085792,5.70286059282495e-07,1.33724642387928e-05
229,"ALDOB",-6.22693008336754,1.19253391939853e-12,9.62725618225027e-11,-7.7949262070112,4.30443810071565e-23,2.75973838976809e-20,-6.22693008336754,1.19253391939852e-12,9.45819696191195e-11
240,"ALOX5",2.82208993846039,1.31185363613474e-09,5.96154943785206e-08,3.83367281830573,3.93099692247868e-05,0.00096739467582702,2.82208993846039,1.3118536361348e-09,5.87631979269286e-08
249,"ALPL",-3.08365635042831,0.00013663953450958,0.00150500880546515,-5.22562831336384,1.30380645284357e-06,4.94355030389264e-05,-3.08365635042831,0.00013663953450959,0.00149054275387767
259,"AMBP",-3.33962914987789,2.58186696099308e-07,6.77922302131459e-06,-5.74601519557168,7.78202505682141e-08,4.08848327704433e-06,-3.33962914987789,2.58186696099302e-07,6.69860072053845e-06
285,"ANGPT2",1.6686707764865,2.48381168995518e-05,0.00035508157950984,4.36710619576149,1.45223939474797e-08,9.36080000637739e-07,1.6686707764865,2.48381168995532e-05,0.000351408531119282
287,"ANK2",-1.88284355804979,0.00046845947092071,0.00418808432311973,-4.95677777841298,4.40599516866419e-07,1.88367533243988e-05,-1.88284355804979,0.000468459470920717,0.00415268839344117
288,"ANK3",-1.31801193369251,0.00012785258299424,0.00142654377968543,-3.30882836323655,5.68757993234107e-06,0.00018018554269584,-1.31801193369251,0.000127852582994246,0.00141182340418625
313,"AOAH",1.35588040508716,0.00541807786099555,0.0304883050475572,3.06461989454183,0.0003862273408935,0.00652498387705064,1.35588040508716,0.00541807786099547,0.0302380636291737
316,"AOX1",-2.97389053567848,9.10945938637565e-10,4.28144591159655e-08,-2.55660324898219,0.00077628644904684,0.0116158791067643,-2.97389053567848,9.10945938637595e-10,4.22071618235419e-08
330,"BIRC3",2.67596139186493,0.00054544164908493,0.00475580761883206,2.70251736809797,0.00120328750504087,0.0165837954744901,2.67596139186493,0.000545441649084933,0.00471724807864795
341,"APOC1",4.98469694484327,2.72668974848438e-52,5.34587001545709e-49,6.8534676313,1.26299604022383e-17,4.23331012762223e-15,4.98469694484327,2.72668974848416e-52,5.25199398268741e-49
350,"APOH",-3.36234872594926,3.56342850642453e-09,1.42995593047282e-07,-4.93622411586019,9.48535929189636e-10,7.49835548928732e-08,-3.36234872594926,3.56342850642471e-09,1.40896500152857e-07
359,"AQP2",-11.3228801971902,1.10744433185778e-62,3.79964150260403e-59,-9.70176458788797,1.63804823115645e-34,5.4904100611902e-31,-11.3228801971902,1.10744433185712e-62,3.73291798160738e-59
