"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
207,"AKT1",0.37938484077776,0.222372996681937,0.0879942584682862,0.23809483984104,-0.0564582238530814,0.815227905408601,0,0,0,1
208,"AKT2",-0.257561544639391,0.205598543276,0.210300298494523,0.421569866875059,-0.66052728473425,0.145404195455469,0,0,0,1
210,"ALAD",-1.45530628288496,0.377113614614336,0.000113821254278951,0.00128315382227684,-2.19443538560878,-0.716177180161143,0,0,0,1
211,"ALAS1",-0.711591210515657,0.252951443323442,0.004905824304026,0.0278740956979278,-1.20736692926703,-0.215815491764286,0,0,0,1
213,"ALB",-6.61403305388757,0.972502815108268,1.0386471553282e-11,6.8985613769902e-10,-8.52010354636359,-4.70796256141155,0,0,0,1
214,"ALCAM",-0.164249691878489,0.309846015226404,0.596041884838717,0.776850231319796,-0.77153672247549,0.443037338718512,0,0,0,1
215,"ABCD1",0.667340919999972,0.478896538787495,0.163469532725528,0.361321263891524,-0.271279048344407,1.60596088834435,0,0,0,1
216,"ALDH1A1",-0.317301700491364,0.411280745252519,0.440412631328112,0.656577123860785,-1.12339714872109,0.488793747738366,0,0,0,1
217,"ALDH2",-1.38470247553412,0.219048620716383,2.59138813618936e-10,1.34383408616312e-08,-1.8140298830014,-0.955375068066835,0,0,0,1
219,"ALDH1B1",-2.16809230072588,0.452282867129664,1.63762100326204e-06,3.39692984415109e-05,-3.05455043112454,-1.28163417032722,0,0,0,1
221,"ALDH3B1",-0.430938807794973,0.435642201344369,0.322563566718881,0.545892377315259,-1.28478183257568,0.422904216985737,0,0,0,1
223,"ALDH9A1",-1.11215199189609,0.313033240884663,0.000381119449534211,0.00349091952314523,-1.72568586999388,-0.498618113798299,0,0,0,1
224,"ALDH3A2",-1.25999517127589,0.266396619352583,2.24772539405029e-06,4.44370696304694e-05,-1.78212295081018,-0.737867391741601,0,0,0,1
225,"ABCD2",0.470882305961896,0.450477302613297,0.295885997654768,0.519325223197651,-0.412036983012917,1.35380159493671,0,0,0,1
226,"ALDOA",1.51495614085792,0.302929596461442,5.70286059282495e-07,1.33724642387928e-05,0.921225041942242,2.1086872397736,0,0,0,1
229,"ALDOB",-6.22693008336754,0.876263198220502,1.19253391939852e-12,9.45819696191195e-11,-7.9443743928576,-4.50948577387747,0,0,0,1
230,"ALDOC",3.00553927141807,1.23736367995911,0.0151411097023745,0.0669775531880299,0.580351022920269,5.43072751991587,0,0,0,1
231,"AKR1B1",0.627758193301331,0.455017111074447,0.167698607702315,0.366607901674411,-0.264058956754046,1.51957534335671,0,0,0,1
240,"ALOX5",2.82208993846039,0.465235504792594,1.3118536361348e-09,5.87631979269286e-08,1.91024510473759,3.73393477218319,0,0,0,1
241,"ALOX5AP",1.11290605887962,0.362048702368225,0.00211271334986427,0.0141931809149078,0.403303641588438,1.8225084761708,0,0,0,1
249,"ALPL",-3.08365635042831,0.808473047078483,0.00013663953450959,0.00149054275387767,-4.66823440517349,-1.49907829568313,0,0,0,1
259,"AMBP",-3.33962914987789,0.648262348905642,2.58186696099302e-07,6.69860072053845e-06,-4.61020000626629,-2.06905829348949,0,0,0,1
262,"AMD1",0.296510414706201,0.235102114996655,0.207237369707069,0.418222359855329,-0.164281263376437,0.757302092788839,0,0,0,1
267,"AMFR",-0.668186075994614,0.222359497948251,0.00265597402753916,0.0170933163786685,-1.10400268359359,-0.232369468395634,0,0,0,1
271,"AMPD2",0.222798652396047,0.332083053178525,0.502276309262448,0.706393186375883,-0.428072171709961,0.873669476502055,0,0,0,1
272,"AMPD3",0.629584643351123,0.378902156204868,0.096592568835622,0.254168150977887,-0.113049936474988,1.37221922317723,0,0,0,1
274,"BIN1",-1.01642647314737,0.325667136561414,0.00180201690616052,0.0124840996330175,-1.65472233175603,-0.378130614538711,0,0,0,1
275,"AMT",-0.45092118268901,0.235506269515815,0.0555322211248939,0.172919385087054,-0.91250498907339,0.0106626236953706,0,0,0,1
280,"AMY2B",-0.894678565658379,0.459887965118275,0.0517235812674381,0.163847444897359,-1.79604241421361,0.00668528289685255,0,0,0,1
283,"ANG",-0.168539542976473,0.436756698674858,0.699578983953936,0.844896402781344,-1.02456694238581,0.687487856432861,0,0,0,1
284,"ANGPT1",-0.834439220085016,0.358441993000539,0.0199141391509011,0.0826669760380542,-1.53697261691283,-0.131905823257202,0,0,0,1
285,"ANGPT2",1.6686707764865,0.395769840475102,2.48381168995532e-05,0.000351408531119282,0.892976142988138,2.44436540998486,0,0,0,1
286,"ANK1",0.257549378263397,0.371135165535,0.487713345803753,0.69550243945702,-0.469862179581514,0.984960936108308,0,0,0,1
287,"ANK2",-1.88284355804979,0.538236464402482,0.000468459470920717,0.00415268839344117,-2.93776764344483,-0.827919472654751,0,0,0,1
288,"ANK3",-1.31801193369251,0.344078242259148,0.000127852582994246,0.00141182340418625,-1.99239289638429,-0.643630971000732,0,0,0,1
