"Gene_Symbol","Gene_ID","log2FC","Regulation","Degree","Betweenness","Closeness","Eigenvector","PageRank"
"NTN4","59277",-1.97153303156593,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"BICDL1","92558",-2.10088434294019,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"PSMB10","5699",1.69793636130411,"Upregulated",13,0.00525554684982513,0.335917312661499,0.108890653372685,0.00312403184167045
"JAG2","3714",1.99701403628553,"Upregulated",5,0.0056668985802456,0.323383084577114,0.0393164342831933,0.00224703834226502
"HLA-E","3133",1.02853844289374,"Upregulated",19,0.0027000220506697,0.327731092436975,0.187672314055673,0.00414529556086234
"DDC","1644",-3.22271604203033,"Downregulated",7,0.00161427733827632,0.297937356760886,0.0441896388831014,0.00192123643283065
"CES4A","283848",2.16413823009017,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"LGALS3","3958",1.55809186399693,"Upregulated",25,0.0133374428853648,0.37037037037037,0.303480365128346,0.00639490610162125
"DDB2","1643",1.80926546009362,"Upregulated",1,0,0.276203966005666,0.0100891861149311,0.000622562379694469
"NLRC5","84166",1.66331144830178,"Upregulated",12,0.000237281875391939,0.311252992817239,0.134198903227171,0.00263292226431936
"GASK1B","51313",1.6107608232747,"Upregulated",1,0,1,1.3441224836194e-17,0.00241954996370571
"SMYD2","56950",1.33213632846333,"Upregulated",1,0,0.191740412979351,0.000199596832509902,0.00068932613345883
"C1orf115","79762",-1.50802775979464,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"DUSP15","128853",-2.52289574795063,"Downregulated",2,5.6266821751098e-05,0.256241787122208,0.0178122533877023,0.000774602055239812
"MAP3K7CL","56911",2.4598094088279,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"COL4A5","1287",-2.08617095934539,"Downregulated",9,0.00518763275477776,0.308056872037915,0.0372748947423629,0.0026470460951898
"NCS1","23413",-1.70898277124246,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"B4GALNT3","283358",-2.18143607906776,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"RDH12","145226",-3.8250872393873,"Downregulated",3,0,0.253411306042885,0.0134056828024712,0.00112516483502873
"KIF4A","24137",2.50398565908309,"Upregulated",9,0.00176364940642165,0.290611028315946,0.0220773683660771,0.00263689711497218
"NAP1L2","4674",-2.24922943662129,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"FAM184A","79632",-1.81135037324911,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"MIOX","55586",-5.76787422417667,"Downregulated",6,0.000542276509025394,0.288888888888889,0.0188199318993906,0.00189370811699511
"MAP6","4135",-1.73911609002174,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"GRIK5","2901",-2.4845810092616,"Downregulated",2,0,0.257425742574257,0.00412245029718576,0.00100568675435361
"TBC1D13","54662",-1.64262016292063,"Downregulated",2,6.54018998635727e-05,0.210469508904479,0.000251904661167869,0.00160456470323229
"FBLN5","10516",-2.31059602336985,"Downregulated",4,0.00337535217203267,0.288888888888889,0.0260620535952791,0.00182117990430695
"GAS1","2619",-2.12384102090735,"Downregulated",2,0,0.268410185822436,0.010317236918398,0.000900864829968046
"HCLS1","3059",1.48304906201634,"Upregulated",16,0.0136362039793609,0.368968779564806,0.203714050278602,0.00435694378873165
"ZNF503","84858",-1.66605478461429,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"HLA-F","3134",1.76494976481587,"Upregulated",11,0.000182137933557395,0.311750599520384,0.113175101883151,0.00247336642953057
"NMB","4828",2.33496872830938,"Upregulated",2,2.26609004138529e-05,0.279971284996411,0.0167710049492601,0.000970148819925607
"SLC25A48","153328",-3.36532489612173,"Downregulated",1,0,0.208,0.000197992290180375,0.0010499426188467
"RAP2B","5912",1.72461646661363,"Upregulated",3,0.000123321292514414,0.266030013642565,0.0077555382247289,0.00114984757236874
"CP","1356",6.00006894265217,"Upregulated",8,0.00158668169973924,0.350089766606822,0.12725329098638,0.00215609927185987
"COX4I2","84701",2.76534014923209,"Upregulated",8,0.000812307119079961,0.292573143285821,0.0406932694695096,0.00226325668155573
"SGK2","10110",-1.77382672913961,"Downregulated",3,0.000340453292803039,0.275423728813559,0.00927265636574461,0.00104715648318752
"GPD1","2819",-2.97829308328806,"Downregulated",9,0.00124362975296066,0.321516900247321,0.1661970545527,0.0020938080940455
"YWHAH","7533",1.15781677373038,"Upregulated",5,0.00350763214738838,0.286133528980191,0.022600620337349,0.00210786424397354
"SUCLA2","8803",-1.57925386618848,"Downregulated",19,0.00178237165556391,0.339130434782609,0.339334953884221,0.00370694164124022
"ALDH1A2","8854",-2.05902112793472,"Downregulated",16,0.0127852843053159,0.331914893617021,0.162177051404004,0.0042963769242996
"TJP3","27134",-2.63488074495388,"Downregulated",5,0.000631337906013692,0.284463894967177,0.0155728363554775,0.00194579543614029
"MBOAT2","129642",-1.39305473850142,"Downregulated",5,0.000304257847254306,0.279369627507163,0.0376241721233366,0.00139558388179117
"FGFR3","2261",-1.99932825011914,"Downregulated",11,0.00225016280412861,0.346051464063886,0.151986698624526,0.00279943369772402
"SERPINB1","1992",0.9875836164759,"Upregulated",2,0.000448550526736364,0.326633165829146,0.046627907166334,0.000939553384188736
"PACRG","135138",-2.51778962738316,"Downregulated",2,6.15645212952962e-05,0.275229357798165,0.0102706816761636,0.000950114737542571
"SLC15A2","6565",-2.37808632471693,"Downregulated",2,5.45974318997732e-05,0.26694045174538,0.00683034618102763,0.000939990609746315
"MT-ND3","4537",-1.80112219308348,"Downregulated",7,0.000355733855388578,0.290394638868205,0.0260541892096026,0.00199113129692491
"HEYL","26508",2.12577304548843,"Upregulated",2,0,0.248565965583174,0.00245668025165353,0.00112124079340966
"GAL3ST1","9514",2.16204248360416,"Upregulated",1,0,0.229546792230724,0.00118117428742477,0.000825149885657519
"ABCA8","10351",-2.15883588975437,"Downregulated",2,0.000546316114707907,0.283842794759825,0.0129616292137999,0.000870673048630986
"PYGL","5836",1.79138218260462,"Upregulated",22,0.00409209063810209,0.350719424460432,0.442736142111412,0.00449567100105301
"STAMBPL1","57559",1.75268347072858,"Upregulated",2,5.88725967051571e-05,0.249839846252402,0.00302154657258759,0.00108071436043324
"AMDHD1","144193",-2.07114816573592,"Downregulated",4,0.000107845841358867,0.284256559766764,0.0250356794190491,0.00128372184853538
"PRSS8","5652",-2.04542823600727,"Downregulated",6,0.0013257364835055,0.285923753665689,0.0158916430529191,0.00206904850947022
"PLXNB1","5364",-1.38905076132657,"Downregulated",7,0.00274662295144424,0.319934372436423,0.0548586140910401,0.00221139447706433
"BCKDHB","594",-1.81484228183471,"Downregulated",19,0.00238354972500963,0.337370242214533,0.375559728734745,0.00367775032497761
"KLHL13","90293",-1.38022969690982,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"CXCL10","3627",2.47243956989683,"Upregulated",26,0.00991323982410123,0.375360923965351,0.367451101659693,0.00552090290851554
"GIT2","9815",1.61102856850381,"Upregulated",7,0.0036669845069542,0.295454545454545,0.0310140711421203,0.00238378669425907
"TPI1","7167",1.40677914253172,"Upregulated",46,0.0343169908558139,0.41890440386681,0.81871205597691,0.00898799380222847
"CCBE1","147372",-2.33935187794247,"Downregulated",1,0,0.268410185822436,0.0111411158798089,0.000576388429144449
"PDK1","5163",1.60966026290553,"Upregulated",17,0.0051521320893265,0.369318181818182,0.363154122516175,0.00349806600143239
"ALDH5A1","7915",-1.39943662928902,"Downregulated",21,0.00440686907591832,0.337370242214533,0.351271079797728,0.00422961094543591
"MT-CO3","4514",-2.13087434776442,"Downregulated",10,0.00462021201383544,0.308300395256917,0.0701504490816104,0.00288749850971795
"AGMAT","79814",-4.00408351589546,"Downregulated",14,0.00729818389000475,0.309033280507132,0.175225554907695,0.00334341683678122
"MYORG","57462",-1.71218467575784,"Downregulated",1,0,1,1.0091473205523e-17,0.00241954996370756
"MYCN","4613",-2.24947450970853,"Downregulated",12,0.0048516944896195,0.370722433460076,0.212886188802617,0.00327336121008177
"NAPSA","9476",-4.73353519614957,"Downregulated",5,4.89725040026103e-06,0.332764505119454,0.111845326386085,0.00135292389070261
"GPT","2875",-2.53543109792098,"Downregulated",34,0.0266003645746102,0.408805031446541,0.640203683382745,0.00691253425152247
"ABHD14B","84836",-1.0078110121821,"Downregulated",2,0.00335573364619008,0.146176911544228,1.74076167470462e-06,0.00247120471838956
"NUDT4","11163",-1.17411563621359,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"FMO1","2326",-2.89494008912046,"Downregulated",1,0,0.26298044504383,0.0132849045414371,0.000565822844720032
"ANXA9","8416",-2.02819271192252,"Downregulated",1,0,0.250642673521851,0.00338468808740349,0.000660166404482185
"EGLN3","112399",4.93378466748019,"Upregulated",10,0.0124654846016292,0.347903657448706,0.151689587099375,0.00271510232940615
"EAF2","55840",-1.78997817036954,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"TRIM22","10346",1.88674538074519,"Upregulated",6,7.77408291591338e-06,0.280777537796976,0.0456537082273828,0.00153724633468272
"BHMT","635",-2.32963897885866,"Downregulated",17,0.00377863471155371,0.332197614991482,0.231091716382224,0.00357279717299939
"PSMB8","5696",1.45411304219398,"Upregulated",18,0.0034210384493227,0.328836424957841,0.162338289639793,0.00406593233772765
"SEL1L3","23231",1.69094380296409,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"NT5DC3","51559",3.08365135581345,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"C11orf52","91894",-1.41807319430358,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"ZNF320","162967",1.44739834719109,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"PTPRO","5800",-2.37769397275117,"Downregulated",2,0,0.285087719298246,0.0166721106787534,0.000806484051160007
"PNP","4860",-1.41345969086419,"Downregulated",7,0.000981975453988936,0.311252992817239,0.0808117220494027,0.00190737079999063
"CLCC1","23155",1.14489243799148,"Upregulated",1,0,0.235792019347037,0.00318788577746603,0.000608369867883315
"MT-ATP6","4508",-1.65964629604137,"Downregulated",15,0.00700836220131584,0.338248048568951,0.135301464885948,0.0036325416507277
"ACE2","59272",-2.63020163001759,"Downregulated",16,0.00440696544529221,0.371428571428571,0.280616067387236,0.00361972141909612
"DNASE2","1777",1.34948083902973,"Upregulated",1,0,1,9.90190697237035e-18,0.00241954996370571
"PTGDS","5730",-3.75081024295136,"Downregulated",5,0.00422059823082633,0.347593582887701,0.0831132201464737,0.00152200314568102
"MRGPRF","116535",-2.43927071540451,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"TOB1","10140",-1.27342030578045,"Downregulated",1,0,0.296127562642369,0.025125076033082,0.00057216406588177
"DEPP1","11067",2.02911596664875,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"DHRS11","79154",-2.14809803490232,"Downregulated",2,0.000397085458710849,0.302091402013943,0.037838544313252,0.000788726707043978
"THRB","7068",-1.82768621238507,"Downregulated",4,0.00200135717641479,0.288888888888889,0.0130144225316518,0.00181845316613293
"SLC16A12","387700",-1.88507745445614,"Downregulated",1,0,0.221843003412969,0.000639641922975564,0.00102094840869596
"CMTM4","146223",-1.63286087228448,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"FMNL3","91010",1.12623512557255,"Upregulated",6,0.000350963142366201,0.296352583586626,0.0316600803694425,0.00184540250539965
"ADPGK","83440",1.19517312668335,"Upregulated",7,0,0.310756972111554,0.182085716181492,0.00150364283443379
