"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue","Regulation"
10539,"GLRX3",0.172350196327184,0.187780214199344,0.358708201700759,0.603497399904218,-0.195692260512747,0.540392653167115,0,0,0.831931261604855,0.361714678438311,"Not significant"
114815,"SORCS1",-4.82618010554108,3.19600397511305,0.131026331253997,0.33856420549974,-11.0902327912095,1.43787258012735,19.3533050851398,94.5324079602881,18.2895869468107,1.89741503285186e-05,"Not significant"
54906,"TASOR2",0.371648073872126,0.21915798989521,0.0899238017379554,0.266137412655174,-0.0578936932466779,0.80118984099093,0,0,0.0579801541535075,0.809717349262628,"Not significant"
7511,"XPNPEP1",0.781826189810269,0.253173087800089,0.00201434308310096,0.0170492076518834,0.285616055867297,1.27803632375324,0,0,0.0780114048977237,0.780010602060227,"Upregulated"
9126,"SMC3",-0.00157036413753073,0.262805556189157,0.995232361666448,0.998119453462416,-0.516659789205296,0.513519060930235,0,0,0.112899469692159,0.736866972947732,"Not significant"
8036,"SHOC2",-0.107808020130091,0.220558336218882,0.624986169927271,0.797302349241119,-0.540094415609176,0.324478375348994,0,0,0.0030994468582749,0.955602567087667,"Not significant"
7019,"TFAM",-0.344485748472755,0.440278484995252,0.433963705578368,0.665506442483295,-1.20741572223131,0.518444225285797,0.22153155419536,40.9122927614663,1.69239939529733,0.193284977846995,"Not significant"
8030,"CCDC6",-0.079313143562268,0.273703332382297,0.771986249179803,0.88539389228405,-0.615761817480165,0.457135530355629,0,0,0.0308372197129299,0.860604042011436,"Not significant"
8453,"CUL2",-0.134981033515089,0.295131470011621,0.647413029922384,0.811836904458361,-0.71342808544223,0.443466018412052,0,0,0.00382643291492524,0.95067578098185,"Not significant"
219771,"CCNY",0.119208733896154,0.291791330605653,0.682876506299241,0.83487972579437,-0.452691765091946,0.691109232884255,0.0513055716678034,14.1811140454495,1.16524467648019,0.280380490261563,"Not significant"
