GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
8554,626,603,1601,471
9497,297,32,473,227
321,212,17,80,18
5606,913,689,840,673
79645,21,14,106,6
9168,137267,21471,27293,7869
28990,271,100,140,182
25897,1301,190,6458,844
8504,333,278,185,299
11345,1561,2780,1079,1969
4653,26,2,66,12
26751,994,2457,981,1828
84908,1123,847,1071,834
7414,2070,495,3244,1231
55789,43,69,12,151
23604,204,64,55,81
8439,917,169,2447,270
159,706,337,1018,748
26228,9,123,1,107
7077,5229,1294,2870,1520
5981,600,643,3324,994
55773,767,250,286,358
8452,843,1609,936,1059
9172,18,268,125,174
5009,0,1,0,0
10858,110,145,470,115
26009,392,248,955,510
6570,1,2,5,2
9099,125,1230,1391,3493
846,19,376,437,916
27175,806,514,1863,1082
51121,3586,1266,535,740
2324,730,89,2081,356
54888,911,119,883,540
54455,802,198,2112,382
4238,78,16,443,138
84245,503,78,2305,685
4234,1518,1283,472,906
3224,101,42,332,66
175,386,280,1356,848
55300,173,90,277,232
259282,556,100,1938,612
27430,1929,865,1821,1815
7092,39,27,79,73
23644,916,673,2032,822
7204,1227,132,879,349
1462,8917,42,2859,205
23274,539,173,1524,372
4481,1515,183,730,184
999,1286,688,31,1317
23517,931,352,1699,1022
1767,120,31,14,41
9765,833,411,1542,336
79567,1200,513,3313,1710
729,55,10,327,120
26064,905,679,1192,772
11063,6,0,3,0
11284,1020,839,1209,497
54831,6,2,6,5
23035,202,62,538,199
54908,218,25,309,98
27067,429,412,968,518
54896,419,388,757,301
1497,429,761,904,858
65078,381,6,130,25
79142,859,675,1037,862
1008,8,2,1,3
3631,345,56,1278,332
5874,123,7,6,19
5685,4351,3126,3389,2929
23026,3,4,6,4
55341,1300,408,965,1140
10039,567,389,910,954
3371,1923,81,4155,780
90326,1007,1438,981,472
140876,1842,158,1693,641
55775,238,78,698,215
84883,984,479,540,407
55812,359,537,325,311
9440,392,92,591,335
54884,1435,1027,2060,3712
822,14832,7426,1176,2323
1175,6555,8619,908,1224
7399,13,3,12,17
11055,0,6,0,3
7038,207,106,17,158
10863,453,80,329,352
8538,530,144,3971,163
54165,660,272,707,721
23338,1171,767,2488,952
7546,0,0,1,0
3937,875,20,755,153
54802,414,204,1055,385
153,1,39,3,25
2981,4,12,1,6
9820,1178,636,3293,985
1495,14336,5902,8282,5896
5256,5012,792,7440,786
54875,193,58,132,101
2042,570,8,176,37
3309,17474,6406,9870,8216
1829,341,424,5377,1012
54960,939,431,954,537
8481,937,349,1152,547
2824,71,25,107,61
51438,0,0,0,0
80243,1399,48,142,87
22884,362,152,816,408
64848,590,115,920,429
56474,805,305,592,168
51606,2365,4071,691,1637
5431,1191,346,2183,1359
56204,399,162,643,316
116984,118,43,415,129
7175,2454,257,3023,2336
1356,23039,47,1930,117
23247,471,63,1116,502
84062,921,1149,811,537
7504,66,19,36,59
57101,146,2,62,21
57102,561,117,299,165
6322,321,87,297,168
55841,1145,273,911,245
395,194,82,635,142
27146,12,34,26,15
4134,5642,2325,6291,2852
57120,550,252,558,468
6098,56,0,0,2
57646,280,68,770,263
9734,128,22,338,78
26262,3195,1057,1102,805
51491,2224,842,533,417
57545,493,1145,630,1071
50484,906,263,1922,522
168850,257,111,305,130
608,8,1,13,8
92017,677,1868,2512,1704
55885,13,56,39,105
55173,786,830,680,810
2978,2,0,0,0
51773,470,317,1084,575
55187,732,883,1743,1087
10659,499,30,1588,186
23196,3194,1855,4415,2112
23518,358,208,699,300
1298,47,96,369,316
4254,183,183,1443,506
1161,129,88,231,145
11174,13,5,12,11
9563,1340,290,4591,852
9341,2892,1929,2995,2042
8863,371,176,1607,307
10911,10,0,29,3
3604,97,33,72,11
55040,10,105,22,233
4052,1970,116,1356,462
5954,8978,2262,2292,812
2006,550,230,1415,248
5982,759,252,403,226
57492,596,290,1473,845
81037,7315,2130,3981,2472
23327,633,5181,2185,2306
50943,209,13,12,6
89801,292,166,176,79
3074,9552,2844,3034,2201
79810,185,187,236,270
340533,30,33,88,58
51528,825,498,1904,1047
27122,3824,470,2181,687
7984,1558,446,1199,500
9603,1285,54,146,143
63933,646,1260,601,1273
51474,1663,329,2966,1015
25875,2826,1708,2028,1850
9498,77,41,47,126
10319,657,854,211,304
5733,47,1541,8200,2075
79931,5,0,9,16
5601,1067,279,1486,678
91522,5951,117,19375,111
9564,1694,1062,3642,2024
84067,1174,514,854,633
9709,4854,3497,3261,4576
